Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Address,City,Latitude,Longitude
Freeport Police Dept.,16229,Armstrong,3,3,3,42,(724) 295-4897,Contact location for hours,"414 Market Street
Freeport, Pennsylvania
",Freeport,40.6724,-79.6856
Kiskiminetas Township Police Dept.,15613,Armstrong,3,3,3,42,(724) 478-3357,Contact location for hours,"1222 Old State Road
Apollo, Pennsylvania
",Apollo,40.5851,-79.5289
Kittanning Borough Police Station,16201,Armstrong,3,3,3,42,(724) 543-1538,"7 days a week, 24 hours a day","300 S. McKean Street
Kittanning, Pennsylvania
",Kittanning,40.8121,-79.5154
Parks Township Police Dept.,15690,Armstrong,3,3,3,42,(724) 567-5525,Contact location for hours,"26 Jackson Street
Vandergrift, Pennsylvania
",Vandergift,40.6081,-79.56
State Police-Troop D / Kittanning,16201,Armstrong,3,3,3,42,NA,NA,"130 Parkview Dr. Extension
Kittanning, Pennsylvania
",Kittanning,40.8208,-79.5582
Aliquippa Police Dept.,15001,Beaver,4,4,4,42,NA,NA,"300 Franklin Avenue
Aliquippa, Pennsylvania
",Aliquippa,40.6179,-80.2462
Ambridge Police Dept.,15003,Beaver,4,4,4,42,(724) 266-5977,Contact location for hours,"600 11th Street
Ambridge, Pennsylvania
",Ambridge,40.5931,-80.2279
Beaver Borough Police Dept.,15009,Beaver,4,4,4,42,(724) 773-6700,Contact location for hours,"469 Third Street
Beaver, Pennsylvania
",Beaver,40.6958,-80.3026
Beaver County Courthouse,15009,Beaver,4,4,4,42,(724) 770-4615,Contact location for hours,"810 Third Street
Beaver, Pennsylvania
",Beaver,40.6947,-80.3085
Beaver Falls Police Department,15010,Beaver,4,4,4,42,(724) 846-7004,Contact location for hours,"715 15th St
Beaver Falls, Pennsylvania
",Beaver Falls,40.7557,-80.3203
Brighton Township Police Dept.,15009,Beaver,4,4,4,42,(724) 728-1134,Contact location for hours,"1300 Brighton Road
Beaver, Pennsylvania
",Beaver,40.7093,-80.3644
Center Township Police Dept.,15001,Beaver,4,4,4,42,(724) 774-0271,Contact location for hours,"224 Center Grange Road
Aliquippa, Pennsylvania
",Aliquippa,40.6484,-80.2996
Chippewa Township Police Dept.,15010,Beaver,4,4,4,42,(724) 843-8240,Contact location for hours,"2811 Darlington Road
Beaver Falls, Pennsylvania
",Beaver Falls,40.7792,-80.3937
Economy Borough Police Dept.,15005,Beaver,4,4,4,42,(724) 860-7877,Contact location for hours,"1000 Kenneth Campbell Way
Baden, Pennsylvania
",Baden,40.6573,-80.1825
Hopewell Township Police Dept.,15001,Beaver,4,4,4,42,(724) 378-0557,Contact location for hours,"1700 Clark Boulevard
Aliquippa, Pennsylvania
",Aliquippa,40.5925,-80.2635
Midland Borough Police Dept.,15059,Beaver,4,4,4,42,(724) 643-1155,Contact location for hours,"936 Midland Avenue
Midland, Pennsylvania
",Midland,40.6425,-80.4612
New Brighton Police Dept.,15066,Beaver,4,4,4,42,(724) 846-2270,Contact location for hours,"610 Third Avenue
New Brighton, Pennsylvania
",New Brighton,40.7367,-80.3164
New Sewickley Township Police Dept.,15074,Beaver,4,4,4,42,(724) 774-2473,Contact location for hours,"233 Miller Road
Rochester, Pennsylvania
",Rochester,40.7264,-80.1906
North Sewickley Township Police Dept.,15010,Beaver,4,4,4,42,(724) 843-8118,Contact location for hours,"893 Mercer Road
Beaver Falls, Pennsylvania
",Beaver Falls,40.7969,-80.2912
Patterson Twp. Police Dept. ,15010,Beaver,4,4,4,42,NA,NA,"1600 19th Avenue
Beaver Falls, Pennsylvania
",Beaver Falls,40.7573,-80.333
State Police-Troop D / Beaver,15009,Beaver,4,4,4,42,NA,NA,"1400 Brighton Rd.
Beaver, Pennsylvania
",Beaver,40.7114,-80.3666
Bedford Borough Police Dept.,15522,Bedford,5,5,5,42,(814) 623-8193,"Monday-Friday, 9am-1pm","244 West Penn Street
Bedford, Pennsylvania
",Bedford,40.0176,-78.5068
Tilden Twp. Police Department ,19526,Berks,6,6,6,42,(610) 562-9001,"Monday-Friday, 7am-10pm; Sunday, 12pm-8pm","870 Hex Highway
Hamburg, Pennsylvania
",Hamburg,40.5381,-76.0198
Northern Bedford Pharmacy,16664,Bedford,5,5,5,42,(814) 766-0124,"Monday-Friday, 8am-6pm; Saturday, 9am-2pm; closed Sundays and holidays","3499 Brumbaugh Rd
New Enterprise, Pennsylvania
",New Enterprise,40.1697,-78.4154
Saxton Borough Police Dept.,16678,Bedford,5,5,5,42,(814) 635-3523,"Monday & Tuesday, 8am-4pm; Wednesday-Friday, 9am-5pm","707 9th Street
Saxton, Pennsylvania
",Saxton,40.2156,-78.2465
State Police-Troop G / Bedford,15522,Bedford,5,5,5,42,NA,NA,"171 Arthur L Hershey Dr.
Bedford, Pennsylvania
",Bedford,40.0774,-78.5229
Amity Twp. Police Department ,19518,Berks,6,6,6,42,(610) 689-6002,"Monday-Friday, 8am-5pm","2004 Weavertown Road
Douglassville, Pennsylvania
",Douglassville,40.2983,-75.7386
Bally Police Department,19503,Berks,6,6,6,42,(610) 845-2400,"Monday-Friday, 8am-4pm","425 Chestnut Street
Bally, Pennsylvania
",Bally,40.3998,-75.5901
Berks County Coroner's Office,19605,Berks,6,6,6,42,(610) 478-3280,"7 days a week, 8am-5pm","1047 MacArthur Road, Suite 200
Reading, Pennsylvania
",Reading,40.3782,-75.975
Berks County Detectives - Berks County AG Center,19533,Berks,6,6,6,42,(610) 898-1005,"Monday-Friday, 8am-4pm; closed holidays","1238 Welfare Road
Leesport, Pennsylvania
",Lessport,40.3825,-76.0143
Bern Twp. Police Department ,19605,Berks,6,6,6,42,(610) 926-2535,"Monday-Thursday, 8:30am-4:30pm; Friday, 8:30am-12pm","1069 Old Bernville Road
Reading, Pennsylvania
",Reading,40.3911,-75.9918
Birdsboro Police Department ,19508,Berks,6,6,6,42,NA,"Monday-Friday, 8:30am-4:30pm","200 East Main Street
Birdsboro, Pennsylvania
",Birdsboro,40.266,-75.8066
Boyertown Bourough Hall,19512,Berks,6,6,6,42,NA,NA,"100 S. Washington St
Boyertown, Pennsylvania
",Boyertown,40.3306,-75.6365
Brecknock Twp. Police Department,19540,Berks,6,6,6,42,(717) 445-0656,"Monday-Friday, 9am-2pm","889 Alleghenyville Road
Mohnton, Pennsylvania
",Mohnton,40.221,-75.9737
Caernarvon Twp. Police Department ,19543,Berks,6,6,6,42,(610) 286-1012,"Monday-Friday, 8 am-4pm; closed holidays","3307 Main Street
Morgantown, Pennsylvania
",Morgantown,40.1142,-76.0632
Central Berks Regional Police Department,19606,Berks,6,6,6,42,(610) 779-1100,"Monday-Friday, 8am-12:30pm & 1:30pm-4:30pm","2147 Perkiomen Avenue
Reading, Pennsylvania
",Reading,40.328,-75.8942
Cumru Police Department,19540,Berks,6,6,6,42,(610) 777-9595,Contact location for hours,"1775 Welsh Road
Mohnton, Pennsylvania
",Mohnton,40.2801,-75.9715
Exeter Twp. Police Department (**2 Boxes at this location),19606,Berks,6,6,6,42,(610) 779-1490,"Monday-Friday, 8am-4:30pm","4975 DeMoss Road
Reading, Pennsylvania
",Reading,40.3063,-75.8545
Fleetwood Police Department ,19522,Berks,6,6,6,42,(610) 944-7011,"Monday-Friday, 8:30am-5pm","110 West Arch Street
Fleetwood, Pennsylvania
",Fleetwood,40.4561,-75.8206
Hamburg Police Department,19526,Berks,6,6,6,42,(610) 562-7228,Contact location for hours,"61 N. Third St.
Hamburg, Pennsylvania
",Hamburg,40.5564,-75.9841
Kutztown Police Department ,19530,Berks,6,6,6,42,(610) 683-3545,"Monday-Friday, 8am-4:30pm","45 Railroad Street
Kutztown, Pennsylvania
",Kutztown,40.5208,-75.7761
Muhlenberg Twp. Police Department ,19560,Berks,6,6,6,42,(610) 929-5454,"Monday-Friday, 8am-4:30pm","5401 Leesport Avenue
Temple, Pennsylvania
",Temple,40.4008,-75.9237
Penn State University Berks Campus / Perkins Student Center,19610,Berks,6,6,6,42,(610) 396-6111,"Monday-Thursday, 7:30am-11pm; Friday 7:30am-10pm; Saturday 11am-7pm; Sunday 11am-11pm","Room 114, Luerssen Building
Reading, Pennsylvania
",Reading,40.338,-75.9754
Reading Police Department,19601,Berks,6,6,6,42,(610) 655-6116,"7 days a week, 24 hours a day","815 Washington Street
Reading, Pennsylvania
",Reading,40.3369,-75.9212
Shillington Police Department,19607,Berks,6,6,6,42,(610) 777-3947 ,"Monday-Friday, 8am-4:30pm","999 East Broad Street
Shillington, Pennsylvania
",Shillington,40.2988,-75.9642
Sinking Spring Police Department ,19608,Berks,6,6,6,42,(610) 678-1906,"Monday-Friday, 9am-8pm","3940 Penn Avenue
Sinking Spring, Pennsylvania
",Sinking Spring,40.325,-76.0221
Spring Twp. Police Department ,19608,Berks,6,6,6,42,(610) 678-3431,"Monday-Friday, 8am-4:30pm","2800 Shillington Road
Sinking Spring, Pennsylvania
",Sinking Spring,40.3178,-76.0056
State Police-Troop L /Hamburg,19526,Berks,6,6,6,42,NA,NA,"90 Industrial Dr.
Hamburg, Pennsylvania
",Hamburg,40.5642,-76.0025
Tulpehocken Twp. Police Department ,19550,Berks,6,6,6,42,(717) 933-5033,"Monday-Thursday, 8am-3pm","22 Rehrersburg Road
Rehrersburg, Pennsylvania
",Rehreersburg,40.4646,-76.2298
West Reading Police Department ,19611,Berks,6,6,6,42,(610) 373-0111 ,"Monday-Friday, 8am-8pm; closed holidays","500 Chestnut Street
West Reading, Pennsylvania
",West Reading,40.3332,-75.9482
Western Berks Police Department substation at Robesonia Borough Hall,19551,Berks,6,6,6,42,(610) 693-3474,Contact location for hours,"75 S. Brooke St.
Robesonia, Pennsylvania
",Robesonia,40.3518,-76.1373
Western Berks Regional Police Department,19565,Berks,6,6,6,42,(610) 678-2835,"Monday-Friday, 9am-2pm","100 N. Reber Street
Wernersville, Pennsylvania
",Wernersville,40.3311,-76.077
Wyomissing Borough Police Department,19610,Berks,6,6,6,42,(610) 375-6102,"7 days a week, 24 hours a day","22 Reading Blvd
Wyomissing, Pennsylvania
",Wyomissing,40.3342,-75.9593
Altoona Police Dept.,16601,Blair,7,7,7,42,(814) 949-2491,"Monday-Friday, 7am-7pm","1106 16th Street
Altoona, Pennsylvania
",Altoona,40.5132,-78.4057
Borough of Tyrone Police Dept.,16686,Blair,7,7,7,42,(814) 681-1365,"Monday-Friday, 8:30am-4:30pm","1100 Logan Avenue
Tyrone, Pennsylvania
",Tyrone,40.6722,-78.2389
Hollidaysburg Police Dept.,16648,Blair,7,7,7,42,(814) 695-3711,"Monday-Friday, 7am-11pm","401 Blair Street
Hollidaysburg, Pennsylvania
",Hollidaysburg,40.4278,-78.3921
Logan Township Police Dept.,16602,Blair,7,7,7,42,(814) 949-3364,Contact location for hours,"100 Chief Logan Circle
Altoona, Pennsylvania
",Altoona,40.5906,-78.3383
State Police-Troop G / Hollidaysburg,16648,Blair,7,7,7,42,NA,NA,"1510 N Juniata St.
Hollidaysburg, Pennsylvania
",Hollidaysburg,40.4349,-78.4058
Walgreens Pharmacy (Altoona Location),16602,Blair,7,7,7,42,(814) 944û3236,Contact location for hours,"508 E PLANK RD
Altoona, Pennsylvania
",Altoona,40.4795,-78.4037
Athens Township Police Dept.,18840,Bradford,8,8,8,42,(570) 888-6507,"Monday-Friday, 8am-4pm","45 Herrick Avenue
Sayre, Pennsylvania
",Sayre,41.9723,-76.5386
Bradford County Coroner's Office,16947,Bradford,8,8,8,42,(570) 297-0720,"Monday-Friday, 9am-5pm  ","129 Canton St.
Troy, Pennsylvania
",Troy,41.7837,-76.7898
Bradford County Sheriff's Office,18848,Bradford,8,8,8,42,(570) 265-1701,"Monday-Friday, 8am-5pm","301 Main St.
Towanda, Pennsylvania
",Towanda,41.7671,-76.4425
Canton Borough Police Dept,17724,Bradford,8,8,8,42,(570) 673-5133,Contact location for hours,"4 N Center St
Canton, Pennsylvania
",Canton,41.6542,-76.8516
Guthrie Towanda Memorial Hospital (Lobby area),18848,Bradford,8,8,8,42,NA,NA,"91 Hospital Dr
Towanda, Pennsylvania
",Towanda,41.7841,-76.4485
Robert Packer Hospital (Clinic Pharmacy),18840,Bradford,8,8,8,42,NA,NA,"One Guthrie Square
Sayre, Pennsylvania
",Sayre,41.9797,-76.5209
Sayre Police Dept.,18840,Bradford,8,8,8,42,(570) 888-2437,Contact location for hours,"234 South Lehigh Avenue
Sayre, Pennsylvania
",Sayre,41.9799,-76.5144
State Police-Troop P / Towanda,18848,Bradford,8,8,8,42,NA,NA,"101 Hawkins Rd.
Towanda, Pennsylvania
",Towanda,41.7962,-76.4854
Bensalem Township Police,19020,Bucks,9,9,9,42,(215) 633-3700,Contact location for hours,"2400 Byberry Road
Bensalem, Pennsylvania
",Bensalem,40.1099,-74.9427
Bristol Township Police,19007,Bucks,9,9,9,42,(215) 785-4040,Contact location for hours,"2501 Bath Road
Bristol, Pennsylvania
",Bristol,40.1241,-74.8675
Buckingham Township Police (Lower Level),18912,Bucks,9,9,9,42,(215) 794-8812,Contact location for hours,"4613 Hughesian Drive
Buckingham, Pennsylvania
",Buckingham,40.322,-75.0608
Bucks County Courthouse,18901,Bucks,9,9,9,42,(215) 348-6000,Contact location for hours,"55 E. Court Street
Doylestown, Pennsylvania
",Doylestown,40.3123,-75.1298
Bucks County Justice Center,18901,Bucks,9,9,9,42,(215) 348-6000,Contact location for hours,"100 North Main Street
Doylestown, Pennsylvania
",Doylestown,40.3123,-75.1309
Central Bucks Regional Police Dept.,18901,Bucks,9,9,9,42,(215) 345-4143,Contact location for hours,"57 West Court Street
Doylestown, Pennsylvania
",Doylestown,40.3101,-75.132
Chalfont Borough Police,18914,Bucks,9,9,9,42,(215) 822-2606,Contact location for hours,"40 North Main St.
Chalfont, Pennsylvania
",Chalfont,40.2869,-75.209
Doylestown Township Police,18901,Bucks,9,9,9,42,(215) 348-4201,"Monday-Friday, 8am-4:30pm","425 Wells Road
Doylestown, Pennsylvania
",Doylestown,40.283,-75.1359
Dublin Borough Police ,18917,Bucks,9,9,9,42,(215) 249-0272,"Monday-Friday, 10am-2pm","119 Maple Avenue
Dublin, Pennsylvania
",Dublin,40.3702,-75.204
Falls Township Police Department,19030,Bucks,9,9,9,42,NA,NA,"188 Lincoln Hwy
Fairless Hills, Pennsylvania
",Fairless Hills,40.1809,-74.8701
Hilltown Township Police,18927,Bucks,9,9,9,42,(215) 453-6000,"Monday-Friday, 7:30am-4:30pm ","13 West Creamery Road
Hilltown, Pennsylvania
",Hilltown,40.3418,-75.2571
Langhorne Borough Police (2nd floor),19047,Bucks,9,9,9,42,(215) 757-5911,7:30am-12am; call to check availability,"114 East Maple Avenue
Langhorne, Pennsylvania
",Langhorne,40.1762,-74.9198
Lower Makefield Twp. Police,19067,Bucks,9,9,9,42,(215) 493-4055,Contact location for hours,"1100 Edgewood Road
Yardley, Pennsylvania
",Yardley,40.2249,-74.8437
Lower Southampton Twp Police,19053,Bucks,9,9,9,42,(215) 357-1235,"Monday-Friday, 8:15am-4:45pm","1500 Desire Avenue
Feasterville, Pennsylvania
",Feasterville,40.1555,-74.9923
Middletown Township Police,19047,Bucks,9,9,9,42,(215) 750-3845,"Monday-Friday, 8:30am-4:30pm","3 Municipal Way
Langhorne, Pennsylvania
",Langhorne,40.1828,-74.9067
Morrisville Borough Police,19067,Bucks,9,9,9,42,(215) 295-8112,Contact location for hours,"35 Union Street
Morrisville, Pennsylvania
",Morrisville,40.2101,-74.7753
New Britain Township Police,18914,Bucks,9,9,9,42,(215) 822-1910,"Monday-Friday, 8am-4pm; by appointment during off-hours","207 Park Avenue
Chalfont, Pennsylvania
",Chalfont,40.2954,-75.2043
New Hope Borough Police,18938,Bucks,9,9,9,42,(215) 862-3033,Contact location for hours,"125 New Street
New Hope, Pennsylvania
",New Hope,40.3596,-74.9507
Newtown Township Police,18940,Bucks,9,9,9,42,(215) 579-1000 ext. 398,"Monday-Friday, 8am-4:30pm","100 Municipal Drive
Newtown, Pennsylvania
",Newtown,40.2562,-74.961
Northampton Township Police,18954,Bucks,9,9,9,42,(215) 322-6111,"7 days a week, 24 hours a day","50 Township Road
Richboro, Pennsylvania
",Richboro,40.2156,-75.0081
Penndel Borough Police,19047,Bucks,9,9,9,42,(215) 757-5152,Contact location for hours,"300 S. Bellevue Ave.
Penndel, Pennsylvania
",Penndel,40.1743,-74.9195
Pennridge Regional Police,18960,Bucks,9,9,9,42,(215) 257-5104,"Monday-Friday, 8am-4pm","200 Ridge Road
Sellersville, Pennsylvania
",Sellersville,40.3496,-75.3066
Perkasie Borough Police,18944,Bucks,9,9,9,42,(215) 257-6876,M-F 8:30-4:30,"311 S. 9th Street
Perkasie, Pennsylvania
",Perkasie,40.3728,-75.3018
Plumstead Township Building,18949,Bucks,9,9,9,42,(215) 766-8741,"Monday-Friday, 8am-4pm","5186 Stump Road
Plumsteadville, Pennsylvania
",Plumsteadville,40.3913,-75.1418
Quakertown Borough Police,18951,Bucks,9,9,9,42,(215) 536-5002,"Monday-Friday, 8:30am-5pm","35 N. Third Street
Quakertown, Pennsylvania
",Quakertown,40.4424,-75.3362
Richland Township Police,18951,Bucks,9,9,9,42,(215) 536-9500,"Monday-Friday, 8am-4:30pm","229 California Road
Quakertown, Pennsylvania
",Quakertown,40.4495,-75.3528
Solebury Township Police,18963,Bucks,9,9,9,42,(215) 297-8201,Contact location for hours,"3092 Sugan Road
Solebury, Pennsylvania
",Solebury,40.3676,-74.9764
